title,rating,genres,tagline
The Matrix,8.7,Action|Sci-Fi,Reality is a thing of the past.
Inception,8.8,Action|Thriller|Sci-Fi,Your mind is the scene of the crime.
Interstellar,8.6,Adventure|Drama|Sci-Fi,Mankind was born on Earth. It was never meant to die here.
The Dark Knight,9.0,Action|Crime|Drama,Why So Serious?
The Prestige,8.5,Drama|Mystery|Thriller,Are you watching closely?
Tenet,7.5,Action|Sci-Fi|Thriller,Time runs out.
Avatar,7.9,Action|Adventure|Fantasy,Enter the world.
Titanic,7.8,Drama|Romance,Nothing on Earth could come between them.
The Shawshank Redemption,9.3,Drama,Fear can hold you prisoner. Hope can set you free.
Fight Club,8.8,Drama,Mischief. Mayhem. Soap.
Pulp Fiction,8.9,Crime|Drama,Just because you are a character doesn't mean you have character.
Forrest Gump,8.8,Drama|Romance,Life is like a box of chocolates.
The Godfather,9.2,Crime|Drama,An offer you can't refuse.
The Godfather Part II,9.0,Crime|Drama,I don't feel I have to wipe everybody out. Just my enemies.
The Lord of the Rings: The Fellowship of the Ring,8.8,Adventure|Fantasy,One ring to rule them all.
The Lord of the Rings: The Two Towers,8.7,Adventure|Fantasy,The journey continues.
The Lord of the Rings: The Return of the King,8.9,Adventure|Fantasy,The eye of the enemy is moving.
Star Wars: A New Hope,8.6,Action|Adventure|Sci-Fi,A long time ago in a galaxy far, far awayâ€¦
Star Wars: The Empire Strikes Back,8.7,Action|Sci-Fi,The adventure continues...
The Avengers,8.0,Action|Sci-Fi,Some assembly required.
Avengers: Endgame,8.4,Action|Adventure|Sci-Fi,Part of the journey is the end.
Avengers: Infinity War,8.5,Action|Sci-Fi,Destiny arrives.
Iron Man,7.9,Action|Adventure|Sci-Fi,Heroes aren't born. They're built.
Captain America: Civil War,7.8,Action|Sci-Fi,United we stand. Divided we fall.
Black Panther,7.3,Action|Sci-Fi,Long live the king.
Doctor Strange,7.5,Action|Fantasy,Open your mind.
Spider-Man: Homecoming,7.4,Action|Adventure,Homework can wait. The city can't.
Joker,8.4,Crime|Drama|Thriller,Put on a happy face.
Logan,8.1,Action|Drama|Sci-Fi,His time has come.
Deadpool,8.0,Action|Comedy,With great power comes great irresponsibility.
X-Men: Days of Future Past,7.9,Action|Sci-Fi,To save the future, they must alter the past.
The Wolverine,6.7,Action|Sci-Fi,The past is a foreign country.
Guardians of the Galaxy,8.0,Action|Adventure|Comedy,You're welcome.
Ant-Man,7.3,Action|Comedy,Heroes don't get any bigger.
Shang-Chi,7.4,Action|Adventure|Fantasy,Discover the hero behind the legend.
Eternals,6.8,Action|Drama|Fantasy,In the beginning...
Dune,8.1,Adventure|Sci-Fi,It begins.
Blade Runner 2049,8.0,Sci-Fi|Thriller,The key to the future is finally unearthed.
The Hunger Games,7.2,Action|Adventure|Sci-Fi,May the odds be ever in your favor.
Catching Fire,7.5,Action|Adventure|Sci-Fi,Every revolution begins with a spark.
Divergent,6.6,Action|Adventure|Sci-Fi,What makes you different makes you dangerous.
Ready Player One,7.4,Action|Adventure|Sci-Fi,A better reality awaits.
The Maze Runner,6.8,Action|Mystery|Sci-Fi,Remember. Survive. Run.
Edge of Tomorrow,7.9,Action|Sci-Fi,Live. Die. Repeat.
Oblivion,7.0,Action|Sci-Fi,Earth is a memory worth fighting for.
War for the Planet of the Apes,7.4,Action|Drama|Sci-Fi,For freedom. For family. For the planet.
Rise of the Planet of the Apes,7.6,Action|Sci-Fi,Evolution becomes revolution.
Dawn of the Planet of the Apes,7.6,Action|Drama|Sci-Fi,One last chance for peace.
Gravity,7.7,Drama|Sci-Fi|Thriller,Don't let go.
Arrival,7.9,Drama|Sci-Fi,Why are they here?
